"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 04-Jul-2024"
"NIFTY 500","23,553.45","23,570.90","23,448.90","23,521.85","23,562.45","-","40.60","0.17","1,87,90,48,138","70,304.88","24,573.40","19,519.85","3.31","2.83"
"CHENNPETRO","715.95","781.00","713.80","712.40","762.00","-","49.60","6.96","1,98,13,576","1,508.67","1,275.00","433.10","17.11","-20.08"
"MASTEK","2,422.00","2,560.00","2,403.30","2,422.70","2,545.00","-","122.30","5.05","3,12,974","78.87","3,375.00","1,887.00","10.54","-11.45"
"RAYMONDREL","880.00","926.20","861.90","882.10","926.20","-","44.10","5.00","3,48,851","31.68","1,050.00","861.90","-","-"
"SAPPHIRE","329.80","355.00","329.80","320.55","333.75","-","13.20","4.12","2,65,26,181","920.99","401.00","275.80","6.36","-78.82"
"BOSCHLTD","34,380.00","36,020.00","34,330.00","34,405.00","35,815.00","-","1,410.00","4.10","1,73,114","614.86","39,088.80","25,921.60","14.37","1.85"
"BPCL","334.00","347.70","331.90","331.50","345.10","-","13.60","4.10","1,37,43,465","469.01","376.00","234.01","11.12","14.26"
"DEVYANI","168.48","174.80","166.46","167.19","173.09","-","5.90","3.53","78,46,562","135.16","222.74","134.00","2.76","3.02"
"NIVABUPA","82.25","85.77","81.81","81.97","84.82","-","2.85","3.48","1,13,89,149","96.18","109.34","68.54","2.51","-"
"KIRLOSBROS","2,226.30","2,420.00","2,221.00","2,242.60","2,317.50","-","74.90","3.34","10,60,879","251.16","2,684.00","1,422.35","31.79","-0.86"
"MANYAVAR","797.05","848.00","797.00","801.10","827.70","-","26.60","3.32","12,68,363","105.68","1,512.00","706.30","6.25","-26.49"
"IGL","217.11","229.00","217.11","219.47","226.72","-","7.25","3.30","1,28,34,315","289.03","285.18","153.05","8.29","-56.37"
"MANKIND","2,361.70","2,462.50","2,361.70","2,361.70","2,439.00","-","77.30","3.27","10,61,825","258.85","3,054.80","1,901.05","3.99","12.26"
"GESHIP","1,007.10","1,039.95","1,005.20","999.95","1,032.00","-","32.05","3.21","12,70,480","130.73","1,543.70","797.50","4.29","-16.65"
"ENGINERSIN","235.00","245.70","233.80","234.78","242.25","-","7.47","3.18","1,21,71,759","295.94","303.90","142.20","4.69","-9.65"
"GLENMARK","1,778.10","1,843.30","1,775.00","1,783.50","1,840.00","-","56.50","3.17","8,14,811","147.61","1,843.30","1,249.30","20.99","41.29"
"LALPATHLAB","2,750.00","2,859.00","2,747.60","2,756.70","2,844.00","-","87.30","3.17","2,29,926","64.75","3,653.95","2,293.55","-0.05","-1.98"
"CREDITACC","1,258.80","1,354.80","1,250.10","1,241.00","1,279.00","-","38.00","3.06","74,01,040","980.60","1,369.00","750.20","10.27","-2.92"
"KPRMILL","1,150.20","1,195.00","1,143.20","1,150.20","1,185.00","-","34.80","3.03","9,19,480","108.55","1,389.00","755.50","4.91","31.79"
"AUROPHARMA","1,160.10","1,197.00","1,158.60","1,156.10","1,191.00","-","34.90","3.02","19,33,477","228.85","1,592.00","1,010.00","4.62","-5.05"
"NEULANDLAB","11,755.00","12,104.00","11,630.00","11,668.00","12,014.00","-","346.00","2.97","67,448","79.97","18,100.00","7,496.05","1.75","55.79"
"NATCOPHARM","976.20","1,002.90","965.70","973.60","1,002.00","-","28.40","2.92","25,69,046","253.28","1,639.00","726.80","16.26","-17.87"
