MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     24620.20,     24691.20,     24899.85,     24613.10,     24750.90,1171158433866.74,3960329353,Y, ,34199340,     26277.35,     21743.65
Y, , ,NIFTY50 EQL Wgt,     30727.70,     30830.40,     31042.35,     30720.40,     30860.00,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     32096.60,     32197.20,     32365.10,     32116.80,     32221.45,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     19530.65,     19585.80,     19698.10,     19529.65,     19604.60,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     52111.95,     52327.65,     52910.65,     52314.85,     52861.65,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     21334.60,     21410.85,     21502.30,     21377.85,     21476.45,0,0,Y, ,0,     22515.40,     17269.50
Y, , ,NIFTY SMLCAP 50,      8755.45,      8785.00,      8852.80,      8779.25,      8839.30,0,0,Y, ,0,      9505.50,      6776.05
Y, , ,NIFTY SMLCAP 250,     17060.80,     17123.60,     17219.50,     17122.85,     17173.45,0,0,Y, ,0,     18688.30,     13314.70
Y, , ,NIFTY MIDSML 400,     19810.60,     19882.20,     19971.80,     19863.85,     19942.00,0,0,Y, ,0,     21177.60,     15832.85
Y, , ,NIFTY200 QUALTY30,     20490.15,     20549.55,     20610.85,     20468.85,     20552.70,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     28169.90,     28248.35,     28422.70,     28137.25,     28303.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     26365.50,     26430.55,     26632.40,     26399.15,     26534.55,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     30738.45,     30856.60,     31192.35,     30825.95,     31085.00,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      4116.20,      4128.65,      4163.80,      4117.40,      4140.05,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 ESG,      4833.50,      4850.10,      4874.25,      4833.50,      4848.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY M150 QLTY50,     24530.95,     24607.75,     24660.50,     24520.55,     24645.40,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY INDIA MFG,     14138.10,     14189.95,     14234.85,     14154.55,     14201.60,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200 Alpha 30,     24686.90,     24801.45,     25010.10,     24772.40,     24982.90,0,0,Y, ,0,          .00,          .00
Y, , ,NiftyM150Momntm50,     61947.90,     62202.25,     62612.95,     62051.95,     62463.05,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty IT,     36938.10,     37034.45,     37408.25,     36886.25,     37107.95,0,0,Y, ,0,     46088.90,     30918.95
Y, , ,Nifty Next 50,     66866.60,     67077.40,     67389.95,     66975.85,     67147.10,0,0,Y, ,0,     77918.00,     56192.45
Y, , ,Nifty Bank,     55676.85,     55806.75,     56010.15,     55580.45,     55760.85,0,0,Y, ,0,     56161.40,     47702.90
Y, , ,NIFTY MIDCAP 100,     57924.65,     58137.60,     58376.35,     58014.50,     58303.00,0,0,Y, ,0,     60925.95,     46865.70
Y, , ,Nifty 500,     22807.85,     22879.20,     23026.30,     22828.85,     22934.50,0,0,Y, ,0,     24573.40,     19519.85
Y, , ,Nifty 100,     25240.65,     25314.60,     25507.75,     25242.35,     25369.75,0,0,Y, ,0,     27335.65,     22177.35
Y, , ,Nifty Midcap 50,     16195.40,     16259.00,     16341.75,     16217.00,     16296.65,0,0,Y, ,0,     17066.75,     13269.65
Y, , ,Nifty Realty,       976.00,       980.70,      1000.15,       976.60,       993.10,0,0,Y, ,0,      1157.35,       765.80
Y, , ,Nifty Infra,      8968.20,      8994.75,      9077.65,      8972.70,      9021.05,0,0,Y, ,0,      9704.20,      7589.95
Y, , ,Nifty Energy,     35734.20,     35835.20,     36068.85,     35767.25,     35824.85,0,0,Y, ,0,     45022.15,     29313.20
Y, , ,Nifty FMCG,     55530.55,     55660.30,     55854.90,     55323.20,     55632.45,0,0,Y, ,0,     66438.70,     50199.35
Y, , ,Nifty MNC,     28322.20,     28379.40,     28453.70,     28283.35,     28392.15,0,0,Y, ,0,     32841.15,     23981.05
Y, , ,Nifty Pharma,     21371.70,     21407.30,     21694.05,     21405.90,     21644.20,0,0,Y, ,0,     23907.90,     19121.10
Y, , ,Nifty PSE,      9849.65,      9894.05,      9937.90,      9846.05,      9891.00,0,0,Y, ,0,     11814.60,      7956.45
Y, , ,Nifty PSU Bank,      7100.85,      7120.25,      7127.50,      7031.35,      7059.65,0,0,Y, ,0,      7569.25,      5530.35
Y, , ,Nifty Serv Sector,     32446.35,     32539.90,     32801.65,     32430.95,     32615.05,0,0,Y, ,0,     33791.15,     28607.75
Y, , ,India VIX,15.7450,15.7450,15.9325,14.9825,15.0825,0,0,Y, ,0,23.1875,9.4700
